Latitude,Longitude,Sample Date,Total Alkalinity,Electrical Conductance,Dissolved Reactive Phosphorus,nir,green,swir16,swir22,NDMI,MNDWI,pet,month,year,dayofyear,station_id,sin_doy,cos_doy,sin_month,cos_month,Total Alkalinity_lag_1,Total Alkalinity_lag_3,Total Alkalinity_lag_7,Total Alkalinity_lag_14,Total Alkalinity_lag_30,Total Alkalinity_roll_mean_3,Total Alkalinity_roll_std_3,Total Alkalinity_roll_med_3,Total Alkalinity_roll_q25_3,Total Alkalinity_roll_q50_3,Total Alkalinity_roll_q75_3,Total Alkalinity_roll_mean_7,Total Alkalinity_roll_std_7,Total Alkalinity_roll_med_7,Total Alkalinity_roll_q25_7,Total Alkalinity_roll_q50_7,Total Alkalinity_roll_q75_7,Total Alkalinity_roll_mean_14,Total Alkalinity_roll_std_14,Total Alkalinity_roll_med_14,Total Alkalinity_roll_q25_14,Total Alkalinity_roll_q50_14,Total Alkalinity_roll_q75_14,Total Alkalinity_roll_mean_30,Total Alkalinity_roll_std_30,Total Alkalinity_roll_med_30,Total Alkalinity_roll_q25_30,Total Alkalinity_roll_q50_30,Total Alkalinity_roll_q75_30,Electrical Conductance_lag_1,Electrical Conductance_lag_3,Electrical Conductance_lag_7,Electrical Conductance_lag_14,Electrical Conductance_lag_30,Electrical Conductance_roll_mean_3,Electrical Conductance_roll_std_3,Electrical Conductance_roll_med_3,Electrical Conductance_roll_q25_3,Electrical Conductance_roll_q50_3,Electrical Conductance_roll_q75_3,Electrical Conductance_roll_mean_7,Electrical Conductance_roll_std_7,Electrical Conductance_roll_med_7,Electrical Conductance_roll_q25_7,Electrical Conductance_roll_q50_7,Electrical Conductance_roll_q75_7,Electrical Conductance_roll_mean_14,Electrical Conductance_roll_std_14,Electrical Conductance_roll_med_14,Electrical Conductance_roll_q25_14,Electrical Conductance_roll_q50_14,Electrical Conductance_roll_q75_14,Electrical Conductance_roll_mean_30,Electrical Conductance_roll_std_30,Electrical Conductance_roll_med_30,Electrical Conductance_roll_q25_30,Electrical Conductance_roll_q50_30,Electrical Conductance_roll_q75_30,Dissolved Reactive Phosphorus_lag_1,Dissolved Reactive Phosphorus_lag_3,Dissolved Reactive Phosphorus_lag_7,Dissolved Reactive Phosphorus_lag_14,Dissolved Reactive Phosphorus_lag_30,Dissolved Reactive Phosphorus_roll_mean_3,Dissolved Reactive Phosphorus_roll_std_3,Dissolved Reactive Phosphorus_roll_med_3,Dissolved Reactive Phosphorus_roll_q25_3,Dissolved Reactive Phosphorus_roll_q50_3,Dissolved Reactive Phosphorus_roll_q75_3,Dissolved Reactive Phosphorus_roll_mean_7,Dissolved Reactive Phosphorus_roll_std_7,Dissolved Reactive Phosphorus_roll_med_7,Dissolved Reactive Phosphorus_roll_q25_7,Dissolved Reactive Phosphorus_roll_q50_7,Dissolved Reactive Phosphorus_roll_q75_7,Dissolved Reactive Phosphorus_roll_mean_14,Dissolved Reactive Phosphorus_roll_std_14,Dissolved Reactive Phosphorus_roll_med_14,Dissolved Reactive Phosphorus_roll_q25_14,Dissolved Reactive Phosphorus_roll_q50_14,Dissolved Reactive Phosphorus_roll_q75_14,Dissolved Reactive Phosphorus_roll_mean_30,Dissolved Reactive Phosphorus_roll_std_30,Dissolved Reactive Phosphorus_roll_med_30,Dissolved Reactive Phosphorus_roll_q25_30,Dissolved Reactive Phosphorus_roll_q50_30,Dissolved Reactive Phosphorus_roll_q75_30
-34.329722,18.990278,2011-01-02,9.639,159.1,10.0,10864.0,8959.0,12654.0,11808.5,-0.0761119142784247,-0.1709619210660243,158.2,1.0,2011.0,2.0,-34.3297_18.9903,0.03442161162274574,0.9994074007397048,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-29.160278,26.573333,2011-01-02,110.418,255.6,86.0,14183.0,9801.0,13704.25,11265.25,0.02154871859009665,-0.1679009137759293,190.1,1.0,2011.0,2.0,-29.1603_26.5733,0.03442161162274574,0.9994074007397048,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-27.802778,28.768333,2011-01-02,43.422,116.9,13.0,12128.5,9803.5,9325.0,8486.0,0.1306779779523148,0.0250150299291631,159.1,1.0,2011.0,2.0,-27.8028_28.7683,0.03442161162274574,0.9994074007397048,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-27.363611,31.783333,2011-01-02,69.459,186.9,10.0,17894.5,9281.0,13078.0,9695.0,0.1555089192025178,-0.1698197593810091,154.40001,1.0,2011.0,2.0,-27.3636_31.7833,0.03442161162274574,0.9994074007397048,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-24.69514,27.40906,2011-01-02,125.275,491.0,158.0,15543.0,10647.0,11919.5,9642.5,0.1319435593991802,-0.0563888950435377,172.90001,1.0,2011.0,2.0,-24.6951_27.4091,0.03442161162274574,0.9994074007397048,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-25.127778,27.628889,2011-01-02,128.967,377.0,163.0,7814.0,5189.5,6664.0,5222.0,0.0794308606161066,-0.1243936390095741,169.3,1.0,2011.0,2.0,-25.1278_27.6289,0.03442161162274574,0.9994074007397048,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-27.495556,26.074722,2011-01-03,127.973,320.4,77.0,17937.5,11044.5,18143.5,14152.5,-0.0057093761259388,-0.2432163902973816,194.2,1.0,2011.0,3.0,-27.4956_26.0747,0.051619667223253764,0.998666816288476,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-29.160278,26.573333,2011-01-03,106.253,255.6,153.0,14183.0,9801.0,13704.25,11265.25,0.02154871859009665,-0.1679009137759293,190.1,1.0,2011.0,3.0,-29.1603_26.5733,0.051619667223253764,0.998666816288476,0.0,1.0,110.418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-27.671111,27.236944,2011-01-03,78.935,187.5,32.0,14887.0,10943.0,13522.0,11403.0,0.0480481537540918,-0.1054159002656852,182.90001,1.0,2011.0,3.0,-27.6711_27.2369,0.051619667223253764,0.998666816288476,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-27.398611,26.614722,2011-01-03,84.527,214.3,125.0,15515.5,10247.0,12823.0,10403.5,0.0950120860313704,-0.111660164716081,191.90001,1.0,2011.0,3.0,-27.3986_26.6147,0.051619667223253764,0.998666816288476,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
